strategy_chain,serializer,protocol,reduction_rate_mean,reduction_rate_std,rmse_mean,rmse_std,serialized_size_mean,serialized_size_std,baseline_size_mean,size_reduction_%,num_runs,num_samples
AdaptiveSampling+AdaptiveThreshold,JSON,HTTP,99.1,0.17320508075688854,0.10497342913759537,0.020023339157689606,326.7,62.95561928851149,36491.3,99.1047181108922,10,1000
AdaptiveSampling+AdaptiveThreshold,JSON,MQTT,99.1,0.17320508075688854,0.10497342913759537,0.020023339157689606,326.7,62.95561928851149,36491.3,99.1047181108922,10,1000
AdaptiveSampling+AdaptiveThreshold,CBOR,HTTP,99.1,0.17320508075688854,0.10497342913759537,0.020023339157689606,151.0,29.444863728670914,16723.0,99.09705196436046,10,1000
AdaptiveSampling+AdaptiveThreshold,CBOR,MQTT,99.1,0.17320508075688854,0.10497342913759537,0.020023339157689606,151.0,29.444863728670914,16723.0,99.09705196436046,10,1000
Aggregation+Filtering,JSON,HTTP,80.0,0.0,,,7302.9,5.223983154643591,36491.3,79.98728464044855,10,1000
Aggregation+Filtering,JSON,MQTT,80.0,0.0,,,7302.9,5.223983154643591,36491.3,79.98728464044855,10,1000
Aggregation+Filtering,CBOR,HTTP,80.0,0.0,,,3347.0,0.0,16723.0,79.98564850804281,10,1000
Aggregation+Filtering,CBOR,MQTT,80.0,0.0,,,3347.0,0.0,16723.0,79.98564850804281,10,1000
Aggregation+AdaptiveSampling,JSON,HTTP,95.52,0.28213471959331826,,,1630.7,103.17853458932241,36491.3,95.53126361625922,10,1000
Aggregation+AdaptiveSampling,JSON,MQTT,95.52,0.28213471959331826,,,1630.7,103.17853458932241,36491.3,95.53126361625922,10,1000
Aggregation+AdaptiveSampling,CBOR,HTTP,95.52,0.28213471959331826,,,746.9,47.11358615091829,16723.0,95.53369610715781,10,1000
Aggregation+AdaptiveSampling,CBOR,MQTT,95.52,0.28213471959331826,,,746.9,47.11358615091829,16723.0,95.53369610715781,10,1000
Aggregation+AdaptiveThreshold,JSON,HTTP,99.14000000000001,0.12806248474865858,,,311.4,47.22541688540187,36491.3,99.14664591286142,10,1000
Aggregation+AdaptiveThreshold,JSON,MQTT,99.14000000000001,0.12806248474865858,,,311.4,47.22541688540187,36491.3,99.14664591286142,10,1000
Aggregation+AdaptiveThreshold,CBOR,HTTP,99.14000000000001,0.12806248474865858,,,143.1,21.607637538611204,16723.0,99.14429229205285,10,1000
Aggregation+AdaptiveThreshold,CBOR,MQTT,99.14000000000001,0.12806248474865858,,,143.1,21.607637538611204,16723.0,99.14429229205285,10,1000
Filtering+AdaptiveThreshold,JSON,HTTP,96.3,0.376828873628337,0.08033617776857642,0.015217445637946773,1350.5,138.78058221523642,36491.3,96.29911787193112,10,1000
Filtering+AdaptiveThreshold,JSON,MQTT,96.3,0.376828873628337,0.08033617776857642,0.015217445637946773,1350.5,138.78058221523642,36491.3,96.29911787193112,10,1000
Filtering+AdaptiveThreshold,CBOR,HTTP,96.3,0.376828873628337,0.08033617776857642,0.015217445637946773,621.7,63.887479211501216,16723.0,96.28236560425762,10,1000
Filtering+AdaptiveThreshold,CBOR,MQTT,96.3,0.376828873628337,0.08033617776857642,0.015217445637946773,621.7,63.887479211501216,16723.0,96.28236560425762,10,1000
Filtering+AdaptiveSampling,JSON,HTTP,79.48999999999998,0.19209372712298342,0.07904643646877484,0.013628036521927647,7481.0,71.52901509177936,36491.3,79.49922310249292,10,1000
Filtering+AdaptiveSampling,JSON,MQTT,79.48999999999998,0.19209372712298342,0.07904643646877484,0.013628036521927647,7481.0,71.52901509177936,36491.3,79.49922310249292,10,1000
Filtering+AdaptiveSampling,CBOR,HTTP,79.48999999999998,0.19209372712298342,0.07904643646877484,0.013628036521927647,3426.6,31.781126474686197,16723.0,79.50965735812953,10,1000
Filtering+AdaptiveSampling,CBOR,MQTT,79.48999999999998,0.19209372712298342,0.07904643646877484,0.013628036521927647,3426.6,31.781126474686197,16723.0,79.50965735812953,10,1000
