strategy,serializer,protocol,reduction_rate_mean,reduction_rate_std,rmse_mean,rmse_std,serialized_size_mean,serialized_size_std,baseline_size_mean,size_reduction_%,num_runs,num_samples
AdaptiveSampling,JSON,HTTP,79.24000000000001,0.23748684174075851,0.09458455964395338,0.014750963508742058,7570.3,88.51333232909039,36491.3,79.2545072387117,10,1000
AdaptiveSampling,JSON,MQTT,79.24000000000001,0.23748684174075851,0.09458455964395338,0.014750963508742058,7570.3,88.51333232909039,36491.3,79.2545072387117,10,1000
AdaptiveSampling,CBOR,HTTP,79.24000000000001,0.23748684174075851,0.09458455964395338,0.014750963508742058,3467.4,40.60837352074077,16723.0,79.26568199485739,10,1000
AdaptiveSampling,CBOR,MQTT,79.24000000000001,0.23748684174075851,0.09458455964395338,0.014750963508742058,3467.4,40.60837352074077,16723.0,79.26568199485739,10,1000
AdaptiveThreshold,JSON,HTTP,95.67999999999999,0.42379240200834456,0.07344072241755942,0.00444442657813933,1576.2,154.92307768696048,36491.3,95.68061428340454,10,1000
AdaptiveThreshold,JSON,MQTT,95.67999999999999,0.42379240200834456,0.07344072241755942,0.00444442657813933,1576.2,154.92307768696048,36491.3,95.68061428340454,10,1000
AdaptiveThreshold,CBOR,HTTP,95.67999999999999,0.42379240200834456,0.07344072241755942,0.00444442657813933,724.7,73.18339975704873,16723.0,95.66644740776177,10,1000
AdaptiveThreshold,CBOR,MQTT,95.67999999999999,0.42379240200834456,0.07344072241755942,0.00444442657813933,724.7,73.18339975704873,16723.0,95.66644740776177,10,1000
Aggregation,JSON,HTTP,80.0,0.0,,,7297.8,8.328265125462806,36491.3,80.00126057443829,10,1000
Aggregation,JSON,MQTT,80.0,0.0,,,7297.8,8.328265125462806,36491.3,80.00126057443829,10,1000
Aggregation,CBOR,HTTP,80.0,0.0,,,3347.0,0.0,16723.0,79.98564850804281,10,1000
Aggregation,CBOR,MQTT,80.0,0.0,,,3347.0,0.0,16723.0,79.98564850804281,10,1000
Filtering,JSON,HTTP,0.0,0.0,0.07299752053752578,0.013313263152965578,36494.7,18.204669730593853,36491.3,-0.009317289326471467,10,1000
Filtering,JSON,MQTT,0.0,0.0,0.07299752053752578,0.013313263152965578,36494.7,18.204669730593853,36491.3,-0.009317289326471467,10,1000
Filtering,CBOR,HTTP,0.0,0.0,0.07299752053752578,0.013313263152965578,16723.0,0.0,16723.0,0.0,10,1000
Filtering,CBOR,MQTT,0.0,0.0,0.07299752053752578,0.013313263152965578,16723.0,0.0,16723.0,0.0,10,1000
