Method,Parameters,Reduction (%),±CI,RMSE,±CI (RMSE),Energy proxy,±CI (Energy)
AdaptiveSampling,"high thresh=0.25, low thresh=0.08",77.0,0.3,0.1011,0.0049,240112,2902
AdaptiveSampling,"high thresh=0.25, low thresh=0.12",78.0,0.1,0.1033,0.0040,229519,1396
AdaptiveSampling,"high thresh=0.25, low thresh=0.18",78.5,0.1,0.0999,0.0040,224397,1041
AdaptiveSampling,"high thresh=0.35, low thresh=0.08",78.6,0.2,0.1022,0.0059,223430,1766
AdaptiveSampling,"high thresh=0.35, low thresh=0.12",78.9,0.2,0.1022,0.0051,219921,1829
AdaptiveSampling,"high thresh=0.35, low thresh=0.18",79.1,0.1,0.1031,0.0050,217941,970
AdaptiveSampling,"high thresh=0.5, low thresh=0.08",78.7,0.1,0.1023,0.0049,221878,1548
AdaptiveSampling,"high thresh=0.5, low thresh=0.12",79.0,0.1,0.1011,0.0041,218496,1449
AdaptiveSampling,"high thresh=0.5, low thresh=0.18",79.2,0.1,0.1029,0.0048,216498,760
AdaptiveThreshold,"initial thresh=0.15, max gap=20",91.0,0.1,0.0707,0.0013,93445,1222
AdaptiveThreshold,"initial thresh=0.15, max gap=40",95.0,0.1,0.0742,0.0023,51738,1252
AdaptiveThreshold,"initial thresh=0.15, max gap=60",96.4,0.2,0.0765,0.0034,37984,1645
AdaptiveThreshold,"initial thresh=0.22, max gap=20",91.4,0.1,0.0704,0.0014,89001,815
AdaptiveThreshold,"initial thresh=0.22, max gap=40",95.5,0.1,0.0737,0.0025,47187,1349
AdaptiveThreshold,"initial thresh=0.22, max gap=60",96.8,0.1,0.0751,0.0027,32912,1475
AdaptiveThreshold,"initial thresh=0.3, max gap=20",91.7,0.1,0.0708,0.0015,86537,1020
AdaptiveThreshold,"initial thresh=0.3, max gap=40",95.8,0.1,0.0737,0.0024,43674,1027
AdaptiveThreshold,"initial thresh=0.3, max gap=60",97.2,0.1,0.0747,0.0023,29503,1378
